Id,y
30000,5
30001,5
30002,5
30003,5
30004,5
30005,5
30006,5
30007,5
30008,5
30009,5
30010,5
30011,5
30012,5
30013,5
30014,5
30015,5
30016,5
30017,5
30018,5
30019,5
30020,5
30021,5
30022,5
30023,5
30024,5
30025,5
30026,5
30027,5
30028,5
30029,5
30030,5
30031,5
30032,5
30033,5
30034,5
30035,5
30036,5
30037,5
30038,5
30039,5
30040,5
30041,5
30042,5
30043,5
30044,5
30045,5
30046,5
30047,5
30048,5
30049,5
30050,5
30051,5
30052,5
30053,5
30054,5
30055,5
30056,5
30057,5
30058,5
30059,5
30060,5
30061,5
30062,5
30063,5
30064,5
30065,5
30066,5
30067,5
30068,5
30069,5
30070,5
30071,5
30072,5
30073,5
30074,5
30075,5
30076,5
30077,5
30078,5
30079,5
30080,5
30081,5
30082,5
30083,5
30084,5
30085,5
30086,5
30087,5
30088,5
30089,5
30090,5
30091,5
30092,5
30093,5
30094,5
30095,5
30096,5
30097,5
30098,5
30099,5
30100,5
30101,5
30102,5
30103,5
30104,5
30105,5
30106,5
30107,5
30108,5
30109,5
30110,5
30111,5
30112,5
30113,5
30114,5
30115,5
30116,5
30117,5
30118,5
30119,5
30120,5
30121,5
30122,5
30123,5
30124,5
30125,5
30126,5
30127,5
30128,5
30129,5
30130,5
30131,5
30132,5
30133,5
30134,5
30135,5
30136,5
30137,5
30138,5
30139,5
30140,5
30141,5
30142,5
30143,5
30144,5
30145,5
30146,5
30147,5
30148,5
30149,5
30150,5
30151,5
30152,5
30153,5
30154,5
30155,5
30156,5
30157,5
30158,5
30159,5
30160,5
30161,5
30162,5
30163,5
30164,5
30165,5
30166,5
30167,5
30168,5
30169,5
30170,5
30171,5
30172,5
30173,5
30174,5
30175,5
30176,5
30177,5
30178,5
30179,5
30180,5
30181,5
30182,5
30183,5
30184,5
30185,5
30186,5
30187,5
30188,5
30189,5
30190,5
30191,5
30192,5
30193,5
30194,5
30195,5
30196,5
30197,5
30198,5
30199,5
30200,5
30201,5
30202,5
30203,5
30204,5
30205,5
30206,5
30207,5
30208,5
30209,5
30210,5
30211,5
30212,5
30213,5
30214,5
30215,5
30216,5
30217,5
30218,5
30219,5
30220,5
30221,5
30222,5
30223,5
30224,5
30225,5
30226,5
30227,5
30228,5
30229,5
30230,5
30231,5
30232,5
30233,5
30234,5
30235,5
30236,5
30237,5
30238,5
30239,5
30240,5
30241,5
30242,5
30243,5
30244,5
30245,5
30246,5
30247,5
30248,5
30249,5
30250,5
30251,5
30252,5
30253,5
30254,5
30255,5
30256,5
30257,5
30258,5
30259,5
30260,5
30261,5
30262,5
30263,5
30264,5
30265,5
30266,5
30267,5
30268,5
30269,5
30270,5
30271,5
30272,5
30273,5
30274,5
30275,5
30276,5
30277,5
30278,5
30279,5
30280,5
30281,5
30282,5
30283,5
30284,5
30285,5
30286,5
30287,5
30288,5
30289,5
30290,5
30291,5
30292,5
30293,5
30294,5
30295,5
30296,5
30297,5
30298,5
30299,5
30300,5
30301,5
30302,5
30303,5
30304,5
30305,5
30306,5
30307,5
30308,5
30309,5
30310,5
30311,5
30312,5
30313,5
30314,5
30315,5
30316,5
30317,5
30318,5
30319,5
30320,5
30321,5
30322,5
30323,5
30324,5
30325,5
30326,5
30327,5
30328,5
30329,5
30330,5
30331,5
30332,5
30333,5
30334,5
30335,5
30336,5
30337,5
30338,5
30339,5
30340,5
30341,5
30342,5
30343,5
30344,5
30345,5
30346,5
30347,5
30348,5
30349,5
30350,5
30351,5
30352,5
30353,5
30354,5
30355,5
30356,5
30357,5
30358,5
30359,5
30360,5
30361,5
30362,5
30363,5
30364,5
30365,5
30366,5
30367,5
30368,5
30369,5
30370,5
30371,5
30372,5
30373,5
30374,5
30375,5
30376,5
30377,5
30378,5
30379,5
30380,5
30381,5
30382,5
30383,5
30384,5
30385,5
30386,5
30387,5
30388,5
30389,5
30390,5
30391,5
30392,5
30393,5
30394,5
30395,5
30396,5
30397,5
30398,5
30399,5
30400,5
30401,5
30402,5
30403,5
30404,5
30405,5
30406,5
30407,5
30408,5
30409,5
30410,5
30411,5
30412,5
30413,5
30414,5
30415,5
30416,5
30417,5
30418,5
30419,5
30420,5
30421,5
30422,5
30423,5
30424,5
30425,5
30426,5
30427,5
30428,5
30429,5
30430,5
30431,5
30432,5
30433,5
30434,5
30435,5
30436,5
30437,5
30438,5
30439,5
30440,5
30441,5
30442,5
30443,5
30444,5
30445,5
30446,5
30447,5
30448,5
30449,5
30450,5
30451,5
30452,5
30453,5
30454,5
30455,5
30456,5
30457,5
30458,5
30459,5
30460,5
30461,5
30462,5
30463,5
30464,5
30465,5
30466,5
30467,5
30468,5
30469,5
30470,5
30471,5
30472,5
30473,5
30474,5
30475,5
30476,5
30477,5
30478,5
30479,5
30480,5
30481,5
30482,5
30483,5
30484,5
30485,5
30486,5
30487,5
30488,5
30489,5
30490,5
30491,5
30492,5
30493,5
30494,5
30495,5
30496,5
30497,5
30498,5
30499,5
30500,5
30501,5
30502,5
30503,5
30504,5
30505,5
30506,5
30507,5
30508,5
30509,5
30510,5
30511,5
30512,5
30513,5
30514,5
30515,5
30516,5
30517,5
30518,5
30519,5
30520,5
30521,5
30522,5
30523,5
30524,5
30525,5
30526,5
30527,5
30528,5
30529,5
30530,5
30531,5
30532,5
30533,5
30534,5
30535,5
30536,5
30537,5
30538,5
30539,5
30540,5
30541,5
30542,5
30543,5
30544,5
30545,5
30546,5
30547,5
30548,5
30549,5
30550,5
30551,5
30552,5
30553,5
30554,5
30555,5
30556,5
30557,5
30558,5
30559,5
30560,5
30561,5
30562,5
30563,5
30564,5
30565,5
30566,5
30567,5
30568,5
30569,5
30570,5
30571,5
30572,5
30573,5
30574,5
30575,5
30576,5
30577,5
30578,5
30579,5
30580,5
30581,5
30582,5
30583,5
30584,5
30585,5
30586,5
30587,5
30588,5
30589,5
30590,5
30591,5
30592,5
30593,5
30594,5
30595,5
30596,5
30597,5
30598,5
30599,5
30600,5
30601,5
30602,5
30603,5
30604,5
30605,5
30606,5
30607,5
30608,5
30609,5
30610,5
30611,5
30612,5
30613,5
30614,5
30615,5
30616,5
30617,5
30618,5
30619,5
30620,5
30621,5
30622,5
30623,5
30624,5
30625,5
30626,5
30627,5
30628,5
30629,5
30630,5
30631,5
30632,5
30633,5
30634,5
30635,5
30636,5
30637,5
30638,5
30639,5
30640,5
30641,5
30642,5
30643,5
30644,5
30645,5
30646,5
30647,5
30648,5
30649,5
30650,5
30651,5
30652,5
30653,5
30654,5
30655,5
30656,5
30657,5
30658,5
30659,5
30660,5
30661,5
30662,5
30663,5
30664,5
30665,5
30666,5
30667,5
30668,5
30669,5
30670,5
30671,5
30672,5
30673,5
30674,5
30675,5
30676,5
30677,5
30678,5
30679,5
30680,5
30681,5
30682,5
30683,5
30684,5
30685,5
30686,5
30687,5
30688,5
30689,5
30690,5
30691,5
30692,5
30693,5
30694,5
30695,5
30696,5
30697,5
30698,5
30699,5
30700,5
30701,5
30702,5
30703,5
30704,5
30705,5
30706,5
30707,5
30708,5
30709,5
30710,5
30711,5
30712,5
30713,5
30714,5
30715,5
30716,5
30717,5
30718,5
30719,5
30720,5
30721,5
30722,5
30723,5
30724,5
30725,5
30726,5
30727,5
30728,5
30729,5
30730,5
30731,5
30732,5
30733,5
30734,5
30735,5
30736,5
30737,5
30738,5
30739,5
30740,5
30741,5
30742,5
30743,5
30744,5
30745,5
30746,5
30747,5
30748,5
30749,5
30750,5
30751,5
30752,5
30753,5
30754,5
30755,5
30756,5
30757,5
30758,5
30759,5
30760,5
30761,5
30762,5
30763,5
30764,5
30765,5
30766,5
30767,5
30768,5
30769,5
30770,5
30771,5
30772,5
30773,5
30774,5
30775,5
